"행정구역","2023년02월_총인구수","2023년02월_세대수","2023년02월_세대당 인구","2023년02월_남자 인구수","2023년02월_여자 인구수","2023년02월_남여 비율"
"서울특별시  (1100000000)","9,427,583","4,457,982","          2.11","4,567,957","4,859,626","          0.94"
"서울특별시 종로구 (1111000000)","141,433","72,773","          1.94","68,399","73,034","          0.94"
"서울특별시 종로구 청운효자동(1111051500)","11,605","5,130","          2.26","5,325","6,280","          0.85"
"서울특별시 종로구 사직동(1111053000)","9,120","4,593","          1.99","4,060","5,060","          0.80"
"서울특별시 종로구 삼청동(1111054000)","2,322","1,143","          2.03","1,104","1,218","          0.91"
"서울특별시 종로구 부암동(1111055000)","9,178","4,129","          2.22","4,340","4,838","          0.90"
"서울특별시 종로구 평창동(1111056000)","17,602","7,258","          2.43","8,212","9,390","          0.87"
"서울특별시 종로구 무악동(1111057000)","8,019","3,019","          2.66","3,698","4,321","          0.86"
"서울특별시 종로구 교남동(1111058000)","9,783","4,383","          2.23","4,505","5,278","          0.85"
"서울특별시 종로구 가회동(1111060000)","3,969","1,948","          2.04","1,845","2,124","          0.87"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,760","4,957","          1.36","4,113","2,647","          1.55"
"서울특별시 종로구 종로5.6가동(1111063000)","5,396","3,576","          1.51","2,837","2,559","          1.11"
"서울특별시 종로구 이화동(1111064000)","7,096","4,319","          1.64","3,360","3,736","          0.90"
"서울특별시 종로구 혜화동(1111065000)","16,197","9,255","          1.75","7,792","8,405","          0.93"
"서울특별시 종로구 창신제1동(1111067000)","4,637","2,700","          1.72","2,462","2,175","          1.13"
"서울특별시 종로구 창신제2동(1111068000)","7,682","4,010","          1.92","3,949","3,733","          1.06"
"서울특별시 종로구 창신제3동(1111069000)","6,459","2,785","          2.32","3,168","3,291","          0.96"
"서울특별시 종로구 숭인제1동(1111070000)","5,783","2,975","          1.94","2,785","2,998","          0.93"
"서울특별시 종로구 숭인제2동(1111071000)","9,825","6,593","          1.49","4,844","4,981","          0.97"
"서울특별시 중구 (1114000000)","120,555","63,492","          1.90","58,557","61,998","          0.94"
"서울특별시 중구 소공동(1114052000)","2,228","1,271","          1.75","1,062","1,166","          0.91"
"서울특별시 중구 회현동(1114054000)","4,506","2,556","          1.76","2,337","2,169","          1.08"
"서울특별시 중구 명동(1114055000)","2,728","1,451","          1.88","1,172","1,556","          0.75"
"서울특별시 중구 필동(1114057000)","3,938","2,427","          1.62","2,046","1,892","          1.08"
"서울특별시 중구 장충동(1114058000)","4,577","2,852","          1.60","2,426","2,151","          1.13"
"서울특별시 중구 광희동(1114059000)","5,429","3,608","          1.50","2,727","2,702","          1.01"
"서울특별시 중구 을지로동(1114060500)","1,674","1,306","          1.28","1,021","653","          1.56"
"서울특별시 중구 신당동(1114061500)","7,607","4,790","          1.59","3,740","3,867","          0.97"
"서울특별시 중구 다산동(1114062500)","13,486","6,855","          1.97","6,524","6,962","          0.94"
"서울특별시 중구 약수동(1114063500)","16,347","7,779","          2.10","7,549","8,798","          0.86"
"서울특별시 중구 청구동(1114064500)","13,149","6,188","          2.12","6,220","6,929","          0.90"
"서울특별시 중구 신당제5동(1114065000)","10,127","5,336","          1.90","4,909","5,218","          0.94"
"서울특별시 중구 동화동(1114066500)","10,033","3,989","          2.52","4,810","5,223","          0.92"
"서울특별시 중구 황학동(1114067000)","12,739","7,347","          1.73","6,060","6,679","          0.91"
"서울특별시 중구 중림동(1114068000)","11,987","5,737","          2.09","5,954","6,033","          0.99"
"서울특별시 용산구 (1117000000)","218,175","109,778","          1.99","104,860","113,315","          0.93"
"서울특별시 용산구 후암동(1117051000)","16,294","8,307","          1.96","7,943","8,351","          0.95"
"서울특별시 용산구 용산2가동(1117052000)","9,043","5,083","          1.78","4,365","4,678","          0.93"
"서울특별시 용산구 남영동(1117053000)","7,075","5,011","          1.41","4,300","2,775","          1.55"
"서울특별시 용산구 청파동(1117055500)","19,080","11,114","          1.72","8,893","10,187","          0.87"
"서울특별시 용산구 원효로제1동(1117056000)","17,161","9,240","          1.86","7,978","9,183","          0.87"
"서울특별시 용산구 원효로제2동(1117057000)","13,695","6,137","          2.23","6,455","7,240","          0.89"
"서울특별시 용산구 효창동(1117058000)","10,743","4,705","          2.28","5,113","5,630","          0.91"
"서울특별시 용산구 용문동(1117059000)","11,493","5,313","          2.16","5,513","5,980","          0.92"
"서울특별시 용산구 한강로동(1117062500)","21,127","11,316","          1.87","10,017","11,110","          0.90"
"서울특별시 용산구 이촌제1동(1117063000)","25,022","9,158","          2.73","11,743","13,279","          0.88"
"서울특별시 용산구 이촌제2동(1117064000)","8,003","3,609","          2.22","3,741","4,262","          0.88"
"서울특별시 용산구 이태원제1동(1117065000)","6,124","3,471","          1.76","3,022","3,102","          0.97"
"서울특별시 용산구 이태원제2동(1117066000)","8,685","4,831","          1.80","4,035","4,650","          0.87"
"서울특별시 용산구 한남동(1117068500)","19,398","10,325","          1.88","9,375","10,023","          0.94"
